estrategia,num_calculos,vpl_medio,vpl_desvio,eficiencia_media
Aleatoria,0,-35821050.733333334,15675336.955411064,-1.1134618447785016
Aleatoria,250,-713787.5333333333,7703906.076010911,-0.02218737773947123
Aleatoria,500,3307451.6,9200785.38471568,0.10280885358353391
Aleatoria,750,7006302.466666667,8703914.201461686,0.21778396529143035
Aleatoria,1000,8146043.333333333,8999038.345148684,0.2532116800565696
Aleatoria,1250,10507290.4,7577260.267274547,0.32660870390159946
Aleatoria,1500,11822154.866666667,7781442.670715105,0.3674799621342898
Aleatoria,1750,13339613.6,9329922.861051232,0.4146486622701652
Aleatoria,2000,16394816.8,7017225.850762711,0.5096166244488844
Aleatoria,2250,17831789.4,6288945.208334597,0.5542834929336568
Aleatoria,2500,18103284.4,6357978.406249401,0.562722645816094
Aleatoria,2750,19004228.8,5587750.750403104,0.5907276091862321
Aleatoria,3000,20614064.733333334,4577232.745900198,0.6407677629903206
Aleatoria,3250,20946912.666666668,4337750.952717231,0.6511140109728001
Aleatoria,3500,21240604.533333335,4473401.033860573,0.6602431314469465
Aleatoria,3750,22492565.733333334,4239670.26711427,0.6991591040051134
Aleatoria,4000,23020231.933333334,3891827.791522705,0.7155610846408329
Aleatoria,4250,23546390.066666666,4154638.2063125107,0.7319161885194966
Aleatoria,4500,23759549.133333333,4168013.613771157,0.7385420267554774
Aleatoria,4750,23813289.466666665,4120378.3093915903,0.7402124917325603
Aleatoria,5000,24119493.133333333,3897899.0135682225,0.7497305291040142
Aleatoria,5250,24349301.2,3965954.831165832,0.7568738849971882
Aleatoria,5500,24445977.133333333,3926015.3385318564,0.7598789605287903
Aleatoria,5750,24671915.333333332,3715611.6035320614,0.7669020254536791
Aleatoria,6000,25557778.533333335,3246897.5771345585,0.7944382046751199
Aleatoria,6250,25852016.2,3013831.486116402,0.8035842908010948
Aleatoria,6500,26152024.666666668,2912690.1574481837,0.8129097565232097
Aleatoria,6750,26206528.466666665,2945955.462607284,0.814603953104634
Aleatoria,7000,26597829.2,2466397.4106554743,0.8267671484180276
Aleatoria,7250,27060786.8,2017524.9290721894,0.8411577263825802
Aleatoria,7500,27194133.266666666,2006626.0188042538,0.8453026690833032
Aleatoria,7750,27583310.533333335,1825188.9643434521,0.857399858540822
Aleatoria,8000,27819880.333333332,1810068.7902127865,0.8647533962102729
Aleatoria,8250,27825316.2,1812257.3712790275,0.8649223647358389
Aleatoria,8500,27942234.066666666,1728991.5562862263,0.8685566406948378
Aleatoria,8750,27983350.2,1739731.4223356103,0.8698346949320601
Aleatoria,9000,28036121.933333334,1759862.7294484996,0.8714750519385288
Aleatoria,9250,28105968.4,1783523.7222620682,0.8736461601007345
Aleatoria,9500,28168702.4,1779463.2211673832,0.8755961842887557
Aleatoria,9750,28201889.933333334,1711521.7422701635,0.8766277858563389
Aleatoria,10000,28403237.333333332,1748961.6919719893,0.8828864701454832
Aleatoria,10250,28493233.6,1789455.5394489926,0.8856839148617711
Aleatoria,10500,28498876.066666666,1790761.6275253415,0.8858593053434892
Aleatoria,10750,28514636.466666665,1793635.936417456,0.8863492017507466
Aleatoria,11000,28638708.0,1798887.144029886,0.8902058423450796
Aleatoria,11250,28725353.133333333,1821566.4139135412,0.8928991204044145
Aleatoria,11500,28728944.333333332,1819156.8499283893,0.89301074929567
Aleatoria,11750,28832100.0,1584111.1522664689,0.8962172409131574
Aleatoria,12000,28967279.133333333,1279018.5774653195,0.9004191502400892
Aleatoria,12250,28967664.866666667,1279328.3391445163,0.9004311403782939
Aleatoria,12500,28971872.933333334,1275691.1135491824,0.9005619439582474
Aleatoria,12750,28973013.2,1275942.5457205127,0.9005973880169842
Aleatoria,13000,28988079.466666665,1278258.0299192262,0.9010657079778216
Aleatoria,13250,28988079.466666665,1278258.0299192262,0.9010657079778216
Aleatoria,13500,29101338.333333332,1193233.4874978317,0.90458624754979
Aleatoria,13750,29186582.866666667,1193943.7404313767,0.9072359893468472
Aleatoria,14000,29308427.0,1143328.3374972139,0.9110233934206904
Aleatoria,14250,29337422.266666666,1161580.4132399878,0.911924682535654
Aleatoria,14500,29338996.866666667,1162872.8315971163,0.9119736274154076
Aleatoria,14750,29339475.2,1163243.1802916485,0.9119884959327973
Aleatoria,15000,29340487.533333335,1162208.792900697,0.9120199633107159
Aleatoria,15250,29365059.2,1178548.9363671027,0.9127837492057647
Aleatoria,15500,29376927.866666667,1183684.7076242696,0.9131526749410847
Aleatoria,15750,29381370.4,1180593.8825103962,0.9132907666848933
Aleatoria,16000,29383958.466666665,1181871.7198214428,0.9133712141711082
Aleatoria,16250,29386500.6,1182130.449344427,0.9134502338652004
Aleatoria,16500,29388066.466666665,1181069.1358819085,0.9134989072779465
Aleatoria,16750,29438288.4,1031272.4039886565,0.9150600062795914
Aleatoria,17000,29441844.4,1029965.1318647221,0.9151705410137483
Aleatoria,17250,29441844.4,1029965.1318647221,0.9151705410137483
Aleatoria,17500,29446899.6,1032559.2064442738,0.9153276768934194
Aleatoria,17750,29447285.866666667,1032739.8020882447,0.9153396836097619
Aleatoria,18000,29486451.533333335,1008101.1071616539,0.9165571095245765
Aleatoria,18250,29500127.4,969066.12353159,0.9169822102800225
Aleatoria,18500,29625427.2,825181.7846522582,0.9208770303258385
Aleatoria,18750,29715750.066666666,650643.0651430789,0.9236846270792961
Aleatoria,19000,29721127.933333334,646799.0578478944,0.9238517927323703
Aleatoria,19250,29721689.666666668,646998.6983671678,0.9238692536560674
Aleatoria,19500,29721689.666666668,646998.6983671678,0.9238692536560674
Aleatoria,19750,29734156.466666665,640015.7994010624,0.9242567717729931
Aleatoria,20000,29738961.466666665,631739.9079530692,0.9244061304337423
Aleatoria,20250,29748616.2,620656.9930515105,0.9247062382465535
Aleatoria,20500,29749898.733333334,621671.9757702341,0.9247461045235635
Aleatoria,20750,29873447.6,488504.9588471515,0.9285864985427973
Aleatoria,21000,29898178.333333332,455174.665183702,0.9293552288674617
Aleatoria,21250,29899713.4,456227.5320588872,0.9294029448927466
Aleatoria,21500,29901827.8,457161.53474521457,0.929468668920278
Aleatoria,21750,29901827.8,457161.53474521457,0.929468668920278
Aleatoria,22000,29905586.8,453054.6879741057,0.9295855137081566
Aleatoria,22250,29908569.266666666,454423.58563953877,0.9296782207273162
Aleatoria,22500,29917861.133333333,446338.76226837694,0.9299670491895834
Aleatoria,22750,29947920.8,431779.4100813185,0.9309014241231738
Aleatoria,23000,29947938.533333335,431730.934690622,0.9309019753462575
Aleatoria,23250,29948018.533333335,431808.13767589396,0.930904462066936
Aleatoria,23500,29948848.266666666,431872.1626572029,0.9309302535049059
Aleatoria,23750,29978737.4,422693.2309289023,0.9318593275789165
Aleatoria,24000,29982048.733333334,423903.23439646105,0.931962257092332
Aleatoria,24250,29982048.733333334,423903.23439646105,0.931962257092332
Aleatoria,24500,29982798.133333333,423793.9081880091,0.9319855514482873
Aleatoria,24750,29984799.133333333,423649.25915850763,0.932047750549257
Aleatoria,25000,29987155.933333334,424400.083555005,0.9321210093404441
Aleatoria,25250,29987849.133333333,424632.9625087776,0.9321425567751228
Aleatoria,25500,29987849.133333333,424632.9625087776,0.9321425567751228
Aleatoria,25750,29991852.2,427099.63914009574,0.9322669881333379
Aleatoria,26000,29994190.533333335,427520.30946040887,0.9323396729065017
Aleatoria,26250,29994190.533333335,427520.30946040887,0.9323396729065017
Aleatoria,26500,29997533.0,429705.63458122953,0.9324435701687144
Aleatoria,26750,29997533.0,429705.63458122953,0.9324435701687144
Aleatoria,27000,29998795.4,429671.46149002196,0.9324828106210202
Aleatoria,27250,29998795.4,429671.46149002196,0.9324828106210202
Aleatoria,27500,29998795.4,429671.46149002196,0.9324828106210202
Aleatoria,27750,29999096.6,429817.1338128743,0.9324921731243746
Aleatoria,28000,30014110.533333335,434026.63464253413,0.932958866355435
Aleatoria,28250,30014937.266666666,434003.159935084,0.9329845645413795
Aleatoria,28500,30015358.533333335,434254.77672952495,0.9329976591980188
Aleatoria,28750,30015358.533333335,434254.77672952495,0.9329976591980188
Aleatoria,29000,30018253.533333335,436549.0945275664,0.9330876474025701
Aleatoria,29250,30022816.866666667,439329.11586708255,0.9332294940946031
Aleatoria,29500,30023477.666666668,437550.4108724693,0.9332500344074071
Aleatoria,29750,30026870.2,437443.73291645834,0.933355487942311
Aleatoria,30000,30029757.6,437935.54401023773,0.933445239908398
Aleatoria,30250,30029868.133333333,437942.9249548176,0.9334486757274686
Aleatoria,30500,30030864.266666666,438522.8345619069,0.9334796395444497
Aleatoria,30750,30030864.266666666,438522.8345619069,0.9334796395444497
Aleatoria,31000,30030864.266666666,438522.8345619069,0.9334796395444497
Aleatoria,31250,30032122.2,439387.8119312629,0.9335187411548511
Aleatoria,31500,30032122.2,439387.8119312629,0.9335187411548511
Aleatoria,31750,30032266.866666667,439352.26020632865,0.9335232379747447
Aleatoria,32000,30032352.733333334,439379.09204832395,0.9335259070549395
Aleatoria,32250,30032671.133333333,439565.2866982603,0.9335358042032397
Aleatoria,32500,30033800.533333335,440183.91941386537,0.9335709104824178
Aleatoria,32750,30034230.533333335,440344.4485224634,0.9335842766060644
Aleatoria,33000,30037831.933333334,441892.58944768575,0.9336962225542064
Aleatoria,33250,30041571.466666665,444136.6406005937,0.9338124622400531
Aleatoria,33500,30041628.2,444160.33139400074,0.9338142257394676
Aleatoria,33750,30043089.0,444748.388565779,0.9338596332590561
Aleatoria,34000,30043268.466666665,444842.64205364423,0.9338652118024446
Aleatoria,34250,30046533.8,440810.7053419059,0.9339667114514699
Aleatoria,34500,30048071.2,440424.64236221585,0.934014500006108
Aleatoria,34750,30048071.2,440424.64236221585,0.934014500006108
Aleatoria,35000,30048832.0,439454.65131910937,0.93403814871976
Aleatoria,35250,30049253.133333333,438229.22697893204,0.9340512392318648
Aleatoria,35500,30049569.4,438449.74314522557,0.9340610700676136
Aleatoria,35750,30056281.933333334,441776.48132680764,0.9342697225106732
Aleatoria,36000,30141131.866666667,290872.74734565546,0.9369071985579839
Aleatoria,36250,30143288.8,290915.7878213949,0.9369742446920093
Aleatoria,36500,30154951.4,290161.632061413,0.9373367650493148
Aleatoria,36750,30154951.4,290161.632061413,0.9373367650493148
Aleatoria,37000,30159069.866666667,290673.03973509156,0.9374647835021086
Aleatoria,37250,30159353.133333333,290736.6734449545,0.9374735885655775
Aleatoria,37500,30159353.133333333,290736.6734449545,0.9374735885655775
Aleatoria,37750,30163367.333333332,293580.4478047509,0.9375983659924203
Aleatoria,38000,30163569.666666668,293624.99774193676,0.9376046553234696
Aleatoria,38250,30164687.0,293921.8579481871,0.9376393865222785
Aleatoria,38500,30164687.0,293921.8579481871,0.9376393865222785
Aleatoria,38750,30164687.0,293921.8579481871,0.9376393865222785
Aleatoria,39000,30165335.0,294175.6427214385,0.937659528959774
Aleatoria,39250,30165376.466666665,294186.1983277808,0.9376608179099922
Aleatoria,39500,30165376.466666665,294186.1983277808,0.9376608179099922
Aleatoria,39750,30168854.666666668,295284.2342215539,0.9377689343082896
Aleatoria,40000,30169044.8,295171.0393457616,0.9377748444144353
Aleatoria,40250,30169539.466666665,295393.7600680214,0.9377902206372969
Aleatoria,40500,30169770.2,295501.8370405069,0.937797392754187
Aleatoria,40750,30169770.2,295501.8370405069,0.937797392754187
Aleatoria,41000,30170405.6,295921.8343949728,0.9378171435331757
Aleatoria,41250,30170405.6,295921.8343949728,0.9378171435331757
Aleatoria,41500,30172892.533333335,296811.07070368296,0.9378944473899997
Aleatoria,41750,30172913.533333335,296817.98589079245,0.9378951001541778
Aleatoria,42000,30172913.533333335,296817.98589079245,0.9378951001541778
Aleatoria,42250,30173889.8,297133.8955445123,0.9379254464355237
Aleatoria,42500,30174572.533333335,297553.56703142344,0.937946668524247
Aleatoria,42750,30175902.533333335,297617.7065119102,0.9379880102555262
Aleatoria,43000,30176342.6,297879.5588936671,0.9380016892915249
Aleatoria,43250,30176342.6,297879.5588936671,0.9380016892915249
Aleatoria,43500,30176342.6,297879.5588936671,0.9380016892915249
Aleatoria,43750,30182417.133333333,298250.5331847388,0.9381905101371738
Aleatoria,44000,30182417.133333333,298250.5331847388,0.9381905101371738
Aleatoria,44250,30184109.133333333,298339.89705292915,0.938243104279523
Aleatoria,44500,30184791.066666666,297991.5383356348,0.9382643015010395
Aleatoria,44750,30184974.533333335,298068.73573817225,0.9382700043804622
Aleatoria,45000,30188044.2,298744.55511456606,0.9383654219251613
Aleatoria,45250,30188044.2,298744.55511456606,0.9383654219251613
Aleatoria,45500,30191376.733333334,300697.1689734343,0.9384690104195565
Aleatoria,45750,30192165.266666666,301184.09487043606,0.9384935211963771
Aleatoria,46000,30193342.533333335,301925.5196903148,0.9385301153634277
Aleatoria,46250,30193373.466666665,301929.05387710506,0.9385310768954233
Aleatoria,46500,30194241.066666666,301975.65336214646,0.938558045381181
Aleatoria,46750,30194241.066666666,301975.65336214646,0.938558045381181
Aleatoria,47000,30194711.133333333,300308.17427456717,0.9385726569374342
Aleatoria,47250,30196297.466666665,300839.0818778767,0.9386219665362205
Aleatoria,47500,30196775.533333335,301151.5561703743,0.9386368267645415
Aleatoria,47750,30196775.533333335,301151.5561703743,0.9386368267645415
Aleatoria,48000,30196775.533333335,301151.5561703743,0.9386368267645415
Aleatoria,48250,30196775.533333335,301151.5561703743,0.9386368267645415
Aleatoria,48500,30197721.333333332,301475.5142830643,0.9386662260197625
Aleatoria,48750,30197911.333333332,301560.78611016547,0.9386721319813737
Aleatoria,49000,30198195.866666667,300553.2776974745,0.9386809764179201
Aleatoria,49250,30200165.0,299873.3942966598,0.9387421849751528
Aleatoria,49500,30202716.866666667,299748.4685879781,0.9388215072202608
Aleatoria,49750,30203528.533333335,296857.07961813797,0.9388467370738109
Aleatoria,50000,30204245.0,297185.37915535865,0.9388690077297537
Aleatoria + BL,0,-35821050.733333334,15675336.955411064,-1.1134618447785016
Aleatoria + BL,250,-35821050.733333334,15675336.955411064,-1.1134618447785016
Aleatoria + BL,500,9234132.666666666,10543296.991622895,0.2870338581215401
Aleatoria + BL,750,16271797.133333333,7355861.372422003,0.5057926800869387
Aleatoria + BL,1000,20033134.466666665,6500112.02634082,0.6227101216546237
Aleatoria + BL,1250,23047640.466666665,5485012.189021212,0.7164130517234066
Aleatoria + BL,1500,24505941.133333333,4411065.52888988,0.7617428820133203
Aleatoria + BL,1750,25675708.866666667,3888036.073046572,0.7981039521565717
Aleatoria + BL,2000,26756279.066666666,2975362.0005945126,0.8316924054172422
Aleatoria + BL,2250,26756279.066666666,2975362.0005945126,0.8316924054172422
Aleatoria + BL,2500,27227520.666666668,2840611.1518834583,0.8463404833080481
Aleatoria + BL,2750,28557961.333333332,1834727.7663194796,0.8876959122736336
Aleatoria + BL,3000,28836838.133333333,1674616.5475017542,0.8963645210898729
Aleatoria + BL,3250,29444707.466666665,1121608.5567368264,0.9152595366022954
Aleatoria + BL,3500,29680256.133333333,901697.7590822664,0.9225813333545533
Aleatoria + BL,3750,29807622.6,914445.483552097,0.9265403936845625
Aleatoria + BL,4000,29891849.2,932234.4743591069,0.9291584940332536
Aleatoria + BL,4250,30126788.466666665,497037.16594132164,0.9364613481907433
Aleatoria + BL,4500,30126788.466666665,497037.16594132164,0.9364613481907433
Aleatoria + BL,4750,30139219.533333335,501805.3480849872,0.9368477555724328
Aleatoria + BL,5000,30219493.2,438689.2217423238,0.9393429829078673
Aleatoria + BL,5250,30231103.666666668,439491.5216220521,0.9397038827521976
Aleatoria + BL,5500,30246385.866666667,440057.69444972725,0.9401789147865997
Aleatoria + BL,5750,30254594.8,438700.15656176175,0.9404340813399495
Aleatoria + BL,6000,30344780.666666668,182315.5843337381,0.9432374195842455
Aleatoria + BL,6250,30366157.666666668,168972.9834748175,0.9439019024335349
Aleatoria + BL,6500,30377586.8,163829.38369849458,0.944257165710994
Aleatoria + BL,6750,30377586.8,163829.38369849458,0.944257165710994
Aleatoria + BL,7000,30385514.4,164796.14537482362,0.9445035872966246
Aleatoria + BL,7250,30395318.866666667,164409.24510278206,0.944808349421639
Aleatoria + BL,7500,30404905.866666667,161413.9601591717,0.9451063518109424
Aleatoria + BL,7750,30411150.333333332,162268.71856041168,0.9453004548657657
Aleatoria + BL,8000,30418062.066666666,163409.41722839544,0.9455152992433147
Aleatoria + BL,8250,30422653.4,164254.09601146285,0.9456580162875852
Aleatoria + BL,8500,30429760.2,165203.10530901913,0.945878924119055
Aleatoria + BL,8750,30433799.0,164538.39066092056,0.9460044662125066
Aleatoria + BL,9000,30439675.866666667,166103.09860482378,0.9461871427858125
Aleatoria + BL,9250,30439675.866666667,166103.09860482378,0.9461871427858125
Aleatoria + BL,9500,30446717.266666666,165858.9690677279,0.9464060177231276
Aleatoria + BL,9750,30452091.866666667,165808.81305797724,0.9465730818351075
Aleatoria + BL,10000,30458963.866666667,166099.94736554884,0.946786691141386
Aleatoria + BL,10250,30463268.866666667,166459.05869606783,0.9469205077978949
Aleatoria + BL,10500,30470201.6,164534.72209918837,0.947136004939622
Aleatoria + BL,10750,30478262.933333334,162462.787744265,0.9473865834933202
Aleatoria + BL,11000,30483526.133333333,162312.12506150288,0.9475501848467551
Aleatoria + BL,11250,30485859.466666665,162422.98585829473,0.9476227141998765
Aleatoria + BL,11500,30485859.466666665,162422.98585829473,0.9476227141998765
Aleatoria + BL,11750,30497158.6,157434.81683759065,0.9479739365562332
Aleatoria + BL,12000,30500793.6,156731.230227236,0.9480869269270601
Aleatoria + BL,12250,30506724.4,156585.54769098494,0.9482712799645567
Aleatoria + BL,12500,30513127.066666666,156134.75733136365,0.9484703005095219
Aleatoria + BL,12750,30516665.066666666,153419.96907483655,0.9485802757315261
Aleatoria + BL,13000,30525387.666666668,153841.60425657974,0.948851409103899
Aleatoria + BL,13250,30528897.466666665,152457.49988761113,0.948960507756864
Aleatoria + BL,13500,30532812.666666668,151701.20474126888,0.9490822078668674
Aleatoria + BL,13750,30532812.666666668,151701.20474126888,0.9490822078668674
Aleatoria + BL,14000,30536261.066666666,150801.08382211253,0.9491893979617118
Aleatoria + BL,14250,30539678.8,151643.9517851885,0.9492956348136294
Aleatoria + BL,14500,30541082.4,151553.7893676226,0.9493392643279328
Aleatoria + BL,14750,30542466.533333335,150590.85566473848,0.9493822887402045
Aleatoria + BL,15000,30546164.933333334,151326.42104285062,0.949497249837169
Aleatoria + BL,15250,30550305.266666666,154839.21377465202,0.9496259479936148
Aleatoria + BL,15500,30554100.6,157452.91693337588,0.9497439221671349
Aleatoria + BL,15750,30556225.533333335,157402.52390237615,0.9498099736128889
Aleatoria + BL,16000,30562078.333333332,160330.35723185813,0.949991902097724
Aleatoria + BL,16250,30562078.333333332,160330.35723185813,0.949991902097724
Aleatoria + BL,16500,30568170.866666667,164910.8027557697,0.9501812824555256
Aleatoria + BL,16750,30569986.466666665,164909.1130644248,0.9502377185813229
Aleatoria + BL,17000,30575164.6,165072.01322833964,0.95039867572177
Aleatoria + BL,17250,30577080.4,163503.58206595964,0.9504582264652169
Aleatoria + BL,17500,30579602.933333334,164333.20658017904,0.9505366369127429
Aleatoria + BL,17750,30584825.733333334,162539.75261651562,0.9506989824722354
Aleatoria + BL,18000,30589947.2,166822.32127249296,0.950858178185535
Aleatoria + BL,18250,30591779.533333335,166107.35934366006,0.9509151344504077
Aleatoria + BL,18500,30591779.533333335,166107.35934366006,0.9509151344504077
Aleatoria + BL,18750,30594863.333333332,166755.0544342838,0.9510109913157601
Aleatoria + BL,19000,30597197.0,166684.52175377807,0.9510835310302176
Aleatoria + BL,19250,30602729.4,167324.55992889986,0.9512555001987356
Aleatoria + BL,19500,30603950.4,167623.5173377701,0.9512934537730904
